country,iso3,region,sub_region,population_2020,year,parent_location,obesity_low,obesity,obesity_high,overweight_low,overweight,overweight_high,underweight_low,underweight,underweight_high
Ecuador,ECU,Americas,Latin America and the Caribbean,17643060,2016,Americas,14.9,19.3,24.3,49.5,54.9,60.2,0.6,1.3,2.4
Egypt,EGY,Africa,Northern Africa,102334403,2016,Eastern Mediterranean,26.7,31.1,35.5,57.6,61.9,66.2,0.9,1.5,2.4
Eritrea,ERI,Africa,Sub-Saharan Africa,3546427,2016,Africa,2.6,4.1,6,15.5,19.2,23,12.1,17.1,22.7
Spain,ESP,Europe,Southern Europe,47351567,2016,Europe,23.2,27.1,31.1,63.2,67.2,71.1,0.4,0.6,1
Estonia,EST,Europe,Northern Europe,1331057,2016,Europe,19.8,23.8,28.1,55.8,60.4,64.9,0.7,1.2,1.9
Ethiopia,ETH,Africa,Sub-Saharan Africa,114963583,2016,Africa,2.3,3.6,5.2,14.6,18.1,21.8,11,16,21.7
Finland,FIN,Europe,Northern Europe,5530719,2016,Europe,21.2,24.9,28.7,58.7,62.5,66.3,0.4,0.8,1.2
Fiji,FJI,Oceania,Melanesia,896444,2016,Western Pacific,24.4,30,35.9,57.9,63.4,68.8,1,1.9,3.2
France,FRA,Europe,Western Europe,67391582,2016,Europe,18.8,23.2,27.8,58.4,62.9,67.2,0.8,1.6,2.8
Federated States of Micronesia,FSM,Oceania,Micronesia,115021,2016,Western Pacific,35.5,41.6,47.6,65.3,70.1,74.6,0.6,1.2,2.1
Gabon,GAB,Africa,Sub-Saharan Africa,2225728,2016,Africa,9.5,13.4,18.1,30.7,36.9,43.2,5.2,9.3,14.7
United Kingdom,GBR,Europe,Northern Europe,67215293,2016,Europe,26.6,29.5,32.5,64.3,67.2,70,0.7,1,1.4
Georgia,GEO,Asia,Western Asia,3714000,2016,Europe,18.4,23.3,28.5,52.1,57.2,62.2,1.2,2.4,4.2
Ghana,GHA,Africa,Sub-Saharan Africa,31072945,2016,Africa,7.5,9.7,12.2,25.5,29.3,33.2,6.2,8.9,12.1
Guinea,GIN,Africa,Sub-Saharan Africa,13132792,2016,Africa,4.6,6.6,8.9,20,23.8,28,7,11.1,15.9
The Gambia,GMB,Africa,Sub-Saharan Africa,2416664,2016,Africa,6.3,8.7,11.6,23.7,27.9,32.4,6.7,10.4,14.9
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,1967998,2016,Africa,5.7,8.2,11.3,22.6,26.9,31.5,5.7,9.9,15.3
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,1402985,2016,Africa,4.6,7.4,10.8,19.8,25.1,30.6,7.3,13.3,20.9
Greece,GRC,Europe,Southern Europe,10715549,2016,Europe,22.5,27.4,32.7,62.5,67.1,71.4,0.2,0.5,1.1
Grenada,GRD,Americas,Latin America and the Caribbean,112519,2016,Americas,15.4,20.2,25.5,43.9,49.4,55.1,2.1,4.1,7
Guatemala,GTM,Americas,Latin America and the Caribbean,16858333,2016,Americas,14.9,18.8,23.2,46.6,51.4,56.1,1.2,2.2,3.7
Guyana,GUY,Americas,Latin America and the Caribbean,786559,2016,Americas,14.5,19.2,24.4,41.9,47.5,53.4,2.6,5,8.5
Honduras,HND,Americas,Latin America and the Caribbean,9904608,2016,Americas,15.1,19.4,24.1,47,51.9,56.8,1.5,2.9,4.8
